Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,28.0159809,9.85152013720855,8.25397633117473,0.820960011434046,1.42775654162443,6,1.70833333333333,0.162162162162162,0.216216216216216,0.378378378378378,0.888888888888889,0.571428571428571,0.5,0.5,23,6,8,9,29,24,41
2,0,34.8981142,12.3788923815259,12.0443277225657,1.03157436512716,1.03157436512716,1,1,0.027027027027027,0,0.027027027027027,1,0,0.972972972972973,0.027027027027027,36,1,0,0,37,37,37
3,0,21.2715154,14.6675022504509,14.6675022504509,1.22229185420424,1.22229185420424,0,1,0,0,0,1,1,1,0,27,0,0,0,27,27,27
4,1,27.0034996,11.5540579784703,11.5540579784703,0.962838164872526,0.962838164872526,0,1,0,0,0,1,1,1,0,27,0,0,0,27,27,27
5,1,12.2148759,18.6657647500127,18.6657647500127,1.55548039583439,1.55548039583439,0,1,0,0,0,1,1,1,0,20,0,0,0,20,20,20
6,1,19.8461471,10.8837246298552,10.8837246298552,0.906977052487936,0.906977052487936,0,1,0,0,0,1,1,1,0,19,0,0,0,19,19,19
7,1,25.6881205,13.5471180151152,13.5471180151152,1.1289265012596,1.75178250195455,0,1.53333333333333,0,0.210526315789474,0.210526315789474,1,1,0.652173913043478,0.347826086956522,30,0,8,8,30,30,46
8,1,10.876345,18.7563009448487,18.7563009448487,1.56302507873739,1.56302507873739,0,1,0,0,0,1,1,1,0,18,0,0,0,18,18,18
9,1,35.7751778,10.0628430699232,10.0628430699232,0.838570255826933,0.838570255826933,0,1,0,0,0,1,1,1,0,31,0,0,0,31,31,31
10,1,33.9938685,10.9431499389368,10.9431499389368,0.911929161578065,1.14726571940466,0,1.25,0,0.111111111111111,0.111111111111111,1,1,0.8,0.2,32,0,4,4,32,32,40
11,1,35.5921398,9.10313349578381,9.10313349578381,0.758594457981984,1.26432409663664,0,1.64285714285714,0,0.243243243243243,0.243243243243243,1,1,0.608695652173913,0.391304347826087,28,0,9,9,28,28,46
12,1,11.2374603,17.085711083669,17.085711083669,1.42380925697241,1.42380925697241,0,1,0,0,0,1,1,1,0,17,0,0,0,17,17,17
13,1,39.5921411,10.3050754181112,9.90872636356846,0.8587562848426,1.61648241852725,2,1.85714285714286,0.0384615384615385,0.288461538461538,0.326923076923077,1,0.882352941176471,0.522388059701492,0.477611940298507,35,2,15,15,37,35,65
14,1,32.3616527,12.9783235699826,12.4591906271833,1.08152696416521,1.8231454538785,2,1.66666666666667,0.04,0.24,0.28,1,0.857142857142857,0.580645161290323,0.419354838709677,36,2,12,12,38,36,60
15,1,75.1550088,6.22712986762367,6.22712986762367,0.518927488968639,1.21083080759349,0,2.3,0,0.393939393939394,0.393939393939394,1,1,0.434782608695652,0.565217391304348,40,0,26,26,40,40,92
16,1,47.0708679,11.2171290557402,11.2171290557402,0.934760754645019,1.14720638070071,0,1.22222222222222,0,0.1,0.1,1,1,0.818181818181818,0.181818181818182,45,0,5,5,45,45,55
17,1,26.990064,7.11372896336963,7.11372896336963,0.592810746947469,0.889216120421204,0,1.47058823529412,0,0.19047619047619,0.19047619047619,1,1,0.68,0.32,17,0,4,4,17,17,25
18,1,48.9972404,8.08208782305217,8.08208782305217,0.673507318587681,1.12251219764614,0,1.64705882352941,0,0.244444444444444,0.244444444444444,1,1,0.607142857142857,0.392857142857143,34,0,11,11,34,34,56
