Credit: http://dx.doi.org/10.1145/1188816.1188819
,COUNTS,,,,,ERROR RATES,,,SUBSTITUTIONS vs. INTENTIONS,,,,OMISSIONS vs. PRESENTATIONS,,,,INSERTIONS vs. ENTRIES,,,,
Character,Presented,Transcribed,Entered,Intended,Correct,Unc,Cor,Total,Count,Unc,Cor,Total,Count,Unc,Cor,Total,Count,Unc,Cor,Total
Space,31,38,40,32,32,0,184210526315789,0,5,0,2,0,0,0,0,2,0,0,0645161290322581,0,0645161290322581,8,0,175,0,025,0,2
I,1,1,1,2,1,0,0,0,1,0,0,5,0,5,0,0,0,0,0,0,0,0
a,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d,6,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e,18,18,21,20,19,0,0,666666666666667,0,0952380952380952,1,0,0,05,0,05,0,0,0,0,2,0,0,0952380952380952,0,0952380952380952
f,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i,12,12,14,13,13,0,0,5,0,0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0
k,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m,2,2,2,2,2,0,0,0,0,0,0,0,1,0,0,5,0,5,0,0,0,0
n,10,11,11,10,10,0,0909090909090909,0,0,0909090909090909,0,0,0,0,0,0,0,0,1,0,0909090909090909,0,0,0909090909090909
o,13,14,14,13,13,0,0714285714285714,0,0,0714285714285714,0,0,0,0,0,0,0,0,1,0,0714285714285714,0,0,0714285714285714
p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w,3,4,4,3,3,0,25,0,0,25,0,0,0,0,0,0,0,0,1,0,25,0,0,25
y,8,8,9,8,8,0,1,0,111111111111111,0,0,0,0,0,0,0,0,0,0,0,0
Total,203,213,222,209,207,0,0469483568075117,0,555555555555556,0,0675675675675675,2,0,0,00956937799043062,0,00956937799043062,3,0,0,0147783251231527,0,0147783251231527,13,0,045045045045045,0,0135135135135135,0,0585585585585586
