Credit: http://dx.doi.org/10.1145/572020.572056
Character,Count,Ins,Sub,Del,Total
Space,43,0,0,0,0
a,19,0,0,0,0
b,5,0,0,0,0
c,10,0,0,0,1,0,1
d,9,0,0,0,0
e,29,0,0,0,0
f,3,0,0,0,0
g,3,0,0,0,0
h,9,0,0,0,0
i,12,0,0,0,0
j,1,0,0,0,0
k,4,0,0,0,0
l,12,0,0,0,0
m,3,0,0,0,0
n,16,0,0,0,0625,0,0625
o,12,0,0,0,0833333333333333,0,0833333333333333
p,8,0,0,0,0
r,16,0,0,0,0
s,20,0,0,0,0
t,11,0,0,0,0
u,10,0,0,0,0
v,3,0,0,0,0
w,6,0,0,0,0
y,8,0,0,0,0
Insertion,2,1,0,0,1
Total,274,2,0,3,5
 ,Average,0,0072992700729927,0,0,0109489051094891,0,0182481751824818
