Credit: http://dx.doi.org/10.1145/572020.572056
Character,Count,Ins,Sub,Del,Total
Space,39,0,0,0,0
I,1,0,1,0,1
a,19,0,0,0,0
b,4,0,0,0,0
c,8,0,0,0,0
d,5,0,0,0,0
e,33,0,0,0,0
f,9,0,0,0,0
g,7,0,0,0,0
h,9,0,0,0,0
i,21,0,0,0,0
k,3,0,0,0,0
l,9,0,0,0,0
m,1,0,0,0,0
n,19,0,0,0,0
o,19,0,0,0,0
p,10,0,0,0,1,0,1
r,11,0,0,0,0
s,14,0,0,0,0
t,20,0,0,0,0
u,5,0,0,0,2,0,2
w,4,0,0,0,0
y,3,0,0,0,0
z,2,0,0,0,0
Insertion,15,1,0,0,1
Total,290,15,1,2,18
 ,Average,0,0517241379310345,0,00344827586206897,0,00689655172413793,0,0620689655172414
