Credit: http://dx.doi.org/10.1145/572020.572056
Character,Count,Ins,Sub,Del,Total
Space,38,0,0,0,0526315789473684,0,0526315789473684
C,1,0,0,0,0
a,14,0,0,0,0714285714285714,0,0714285714285714
b,2,0,0,0,5,0,5
c,8,0,0,0,0
d,12,0,0,0,166666666666667,0,166666666666667
e,20,0,0,0,1,0,1
f,6,0,0,0,0
g,5,0,0,0,0
h,7,0,0,0,0
i,18,0,0,0,0555555555555556,0,0555555555555556
j,1,0,0,0,0
k,2,0,0,0,0
l,12,0,0,0,0
m,2,0,0,0,0
n,14,0,0,0,0
o,19,0,0,0,0526315789473684,0,0526315789473684
p,4,0,0,0,0
q,1,0,0,0,0
r,16,0,0,0,0
s,13,0,0,0,0
t,14,0,0,0,0
u,12,0,0,0,0
v,7,0,0,0,142857142857143,0,142857142857143
w,5,0,0,0,0
y,8,0,0,0,0
Insertion,8,1,0,0,1
Total,269,8,0,11,19
 ,Average,0,0297397769516729,0,0,0408921933085502,0,0706319702602231
