Credit: http://dx.doi.org/10.1145/1188816.1188819
,COUNTS,,,,,ERROR RATES,,,SUBSTITUTIONS vs. INTENTIONS,,,,OMISSIONS vs. PRESENTATIONS,,,,INSERTIONS vs. ENTRIES,,,,
Character,Presented,Transcribed,Entered,Intended,Correct,Unc,Cor,Total,Count,Unc,Cor,Total,Count,Unc,Cor,Total,Count,Unc,Cor,Total
Space,40,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,2,2,2,4,2,0,0,0,2,0,0,5,0,5,0,0,0,0,0,0,0,0
a,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b,9,9,10,9,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
c,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e,33,33,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h,10,10,10,11,10,0,0,0,1,0,0,0909090909090909,0,0909090909090909,0,0,0,0,0,0,0,0
i,19,19,21,19,19,0,1,0,0952380952380952,0,0,0,0,0,0,0,0,0,0,0,0
k,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o,16,16,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p,6,6,6,6,6,0,0,0,0,0,0,0,1,0,0,166666666666667,0,166666666666667,0,0,0,0
r,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s,19,19,19,19,19,0,0,0,0,0,0,0,1,0,0,0526315789473684,0,0526315789473684,0,0,0,0
t,20,21,22,21,21,0,0476190476190477,0,0,0454545454545454,0,0,0,0,0,0,0,0,1,0,0454545454545455,0,0,0454545454545455
u,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w,8,8,9,8,8,0,1,0,111111111111111,0,0,0,0,0,0,0,0,1,0,0,111111111111111,0,111111111111111
y,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,281,282,288,286,283,0,00354609929078009,0,666666666666667,0,0173611111111112,3,0,0,0104895104895105,0,0104895104895105,2,0,0,00711743772241993,0,00711743772241993,2,0,00347222222222222,0,00347222222222222,0,00694444444444444
