Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,541.909595,0.664317449481588,0.661670766415924,0.055359787456799,0.867303336823184,1,15.1935483870968,0.00398406374501992,0.876494023904382,0.880478087649402,1,0.995475113122172,0.0636942675159236,0.936305732484076,30,1,220,220,31,31,471
2,0,41.5526237,6.3533894250822,6.171864012937,0.52944911875685,1.1070299755825,1,2.04347826086957,0.0285714285714286,0.342857142857143,0.371428571428571,1,0.923076923076923,0.468085106382979,0.531914893617021,22,1,12,12,23,23,47
3,0,111.6258681,2.1500392703329,2.1500392703329,0.179169939194408,1.24523107740114,0,6.66666666666667,0,0.7375,0.7375,0.983333333333333,1,0.15,0.85,21,0,59,60,21,21,140
4,1,66.3611694,5.2440305550131,5.11292979113777,0.437002546251091,0.708245505993148,1,1.6,0.025,0.225,0.25,1,0.9,0.612244897959184,0.387755102040816,30,1,9,9,31,30,48
5,1,64.3502306,3.91606988273947,3.80089135677655,0.326339156894956,0.699298193346334,1,2.09090909090909,0.0294117647058824,0.352941176470588,0.382352941176471,1,0.923076923076923,0.456521739130435,0.543478260869565,21,1,12,12,21,22,46
6,1,38.1389864,8.1806054499655,8.1806054499655,0.681717120830458,0.839036456406718,0,1.22222222222222,0,0.1,0.1,1,1,0.818181818181818,0.181818181818182,27,0,3,3,27,27,33
7,1,11.4905172,0,0,0,2.52382025066722,42,0,0.736842105263158,0.263157894736842,1,1,0.263157894736842,0,1,0,42,15,15,42,0,30
8,1,55.6200801,7.11973084698956,6.94173757581482,0.593310903915796,0.809060323521541,1,1.35294117647059,0.025,0.15,0.175,1,0.857142857142857,0.717391304347826,0.282608695652174,33,1,6,6,33,34,46
9,1,52.8882242,7.26059545028173,6.86813083134758,0.605049620856811,0.756312026071013,2,1.24242424242424,0.0540540540540541,0.108108108108108,0.162162162162162,1,0.666666666666667,0.75609756097561,0.24390243902439,31,2,4,4,31,33,41
10,1,85.8684027,4.33221054896832,4.16558706631569,0.36101754574736,0.826846637034277,2,2.25,0.0384615384615385,0.384615384615385,0.423076923076923,1,0.909090909090909,0.416666666666667,0.583333333333333,30,2,20,20,31,32,72
11,1,76.7582472,4.53371478237716,4.3070290432583,0.377809565198096,0.63836788602437,2,1.66666666666667,0.05,0.25,0.3,1,0.833333333333333,0.56,0.44,28,2,10,10,30,30,50
12,1,56.4151416,4.46688589008168,4.23178663270896,0.37224049084014,0.939464095929877,2,2.45454545454545,0.0526315789473684,0.421052631578947,0.473684210526316,1,0.888888888888889,0.37037037037037,0.62962962962963,20,2,16,16,22,22,54
13,1,35.1738882,5.79975687760331,5.60643164834987,0.483313073133609,1.10877705013005,1,2.22222222222222,0.0333333333333333,0.366666666666667,0.4,1,0.916666666666667,0.439024390243902,0.560975609756098,18,1,11,11,19,18,40
14,1,56.8727597,5.06393573160825,4.98602902804505,0.421994644300688,1.82864345863631,1,4.2,0.0153846153846154,0.615384615384615,0.630769230769231,1,0.975609756097561,0.228571428571429,0.771428571428571,24,1,40,40,24,25,105
15,1,79.9488622,3.30211078351031,3.23606856784011,0.275175898625859,0.950607649798423,1,3.34782608695652,0.02,0.54,0.56,1,0.964285714285714,0.285714285714286,0.714285714285714,22,1,27,27,22,23,77
16,1,157.2763207,2.13636737243434,2.01358763838639,0.178030614369529,0.877436599392676,5,4.79310344827586,0.0574712643678161,0.632183908045977,0.689655172413793,1,0.916666666666667,0.190140845070423,0.809859154929578,27,5,55,55,32,29,139
17,1,65.9283688,4.36837745635229,3.64031454696025,0.364031454696025,1.27411009143609,11,3.4,0.166666666666667,0.454545454545455,0.621212121212121,1,0.731707317073171,0.260416666666667,0.739583333333333,25,11,30,30,36,25,85
