Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en,,,,,,,,,,,,,,,,,,,,,,
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,0,0,0,0,0,26,0,1,0,1,1,0,0,1,0,26,0,0,26,0,0
2,0,89.7461661,3.209050732,2.032398797,0.267420894,0.356561192,11,1.32,0.366666667,0.133333333,0.5,1,0.266666667,0.441176471,0.558823529,15,11,4,4,26,25,33
3,0,254.0611753,1.511446995,1.382421032,0.125953916,0.495943545,7,3.848484848,0.085365854,0.573170732,0.658536585,1,0.87037037,0.217054264,0.782945736,28,7,47,47,35,33,127
4,1,58.6375296,8.799825019,7.235411682,0.733318752,0.733318752,8,1,0.177777778,0,0.177777778,1,0,0.822222222,0.177777778,37,8,0,0,45,44,44
5,1,89.4668167,1.475407362,1.393440286,0.122950613,0.301787869,1,2.333333333,0.055555556,0.333333333,0.388888889,0.6,0.857142857,0.392857143,0.607142857,11,1,6,10,12,12,28
6,1,146.9828789,0.489852972,0.439611641,0.040821081,0.483049458,4,10.28571429,0.102564103,0.743589744,0.846153846,0.805555556,0.878787879,0.08,0.92,6,4,29,36,10,7,72
7,1,17.7768839,13.50067882,13.50067882,1.125056569,1.125056569,0,1,0,0,0,1,1,1,0,21,0,0,0,21,21,21
8,1,95.6679746,1.630639727,1.518181815,0.135886644,0.459924026,2,3.214285714,0.068965517,0.482758621,0.551724138,0.823529412,0.875,0.282608696,0.717391304,13,2,14,17,15,14,45
9,1,112.4077871,0,0,0,0.409224318,22,0,0.536585366,0.463414634,1,0.678571429,0.463414634,0,1,0,22,19,28,22,0,47
10,1,154.9743696,2.090668288,1.967687801,0.174222357,0.935638586,5,5.214285714,0.058823529,0.670588235,0.729411765,0.93442623,0.919354839,0.157534247,0.842465753,23,5,57,61,28,28,146
11,1,39.5975617,5.757930292,5.757930292,0.479827524,0.782876487,0,1.6,0,0.230769231,0.230769231,1,1,0.625,0.375,20,0,6,6,20,20,32
12,1,56.4823568,5.948760268,5.322574977,0.495730022,0.779004321,4,1.551724138,0.105263158,0.210526316,0.315789474,1,0.666666667,0.565217391,0.434782609,26,4,8,8,30,29,45
13,1,19.4302038,9.263927535,9.263927535,0.771993961,0.771993961,0,1,0,0,0,1,1,1,0,16,0,0,0,16,16,16
14,1,126.2183522,2.662053451,2.188799504,0.221837788,0.364447794,8,1.620689655,0.177777778,0.2,0.377777778,1,0.529411765,0.518518519,0.481481481,28,8,9,9,36,29,47
15,1,191.9379972,1.875605692,1.490207262,0.156300474,0.593941802,15,3.709677419,0.205479452,0.575342466,0.780821918,1,0.736842105,0.139130435,0.860869565,16,15,42,42,18,31,115
16,1,84.6893448,3.96744125,3.96744125,0.330620104,0.566777321,0,1.689655172,0,0.256410256,0.256410256,1,1,0.591836735,0.408163265,29,0,10,10,29,29,49
17,1,61.3397265,4.499530985,4.377922039,0.374960915,0.766224479,1,2,0.027027027,0.324324324,0.351351351,1,0.923076923,0.489795918,0.510204082,24,1,12,12,25,24,48
18,1,35.7456594,5.035576431,5.035576431,0.419631369,0.755336465,0,1.75,0,0.272727273,0.272727273,1,1,0.571428571,0.428571429,16,0,6,6,16,16,28
