Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,0,0,0,0,0,29,0,1,0,1,1,0,0,1,0,29,0,0,29,0,0
2,0,0,0,0,0,0,37,0,1,0,1,1,0,0,1,0,37,0,0,37,0,0
3,0,112.0797464,3.31906532579378,2.85323159585781,0.276588777149481,0.722699708035742,8,2.5625,0.140350877192982,0.43859649122807,0.578947368421053,1,0.757575757575758,0.292682926829268,0.707317073170732,24,8,25,25,31,32,82
4,1,55.7765249,5.59375114457875,5.59375114457875,0.466145928714896,1.14743613222128,0,2.40740740740741,0,0.41304347826087,0.41304347826087,1,1,0.415384615384615,0.584615384615385,27,0,19,19,27,27,65
5,1,62.2113136,3.66492823903336,3.66492823903336,0.305410686586113,0.819786579783778,0,2.6,0,0.354838709677419,0.354838709677419,0.523809523809524,1,0.384615384615385,0.615384615384615,20,0,11,21,20,20,52
6,1,16.1708392,13.3573772720466,13.3573772720466,1.11311477267055,1.11311477267055,0,1,0,0,0,1,1,1,0,19,0,0,0,19,19,19
7,1,113.2576395,0,0,0,1.27143741151342,31,0,0.369047619047619,0.630952380952381,1,0.576086956521739,0.630952380952381,0,1,0,31,53,92,31,0,145
8,1,38.3734174,5.31618015339963,5.31618015339963,0.443015012783302,0.54725383932055,0,1.22222222222222,0,0.1,0.1,1,1,0.818181818181818,0.181818181818182,18,0,2,2,18,18,22
9,1,107.4789793,3.34949217367568,3.34949217367568,0.279124347806306,0.986239362248949,0,3.45161290322581,0,0.53030303030303,0.53030303030303,0.853658536585366,1,0.289719626168224,0.710280373831776,31,0,35,41,31,31,107
10,1,55.3500226,6.93766654396994,6.93766654396994,0.578138878664162,1.55374823640993,0,2.63636363636364,0,0.45,0.45,1,1,0.379310344827586,0.620689655172414,33,0,27,27,33,33,87
11,1,22.432353,14.4434246376205,14.4434246376205,1.20361871980171,1.20361871980171,0,1,0,0,0,1,1,1,0,28,0,0,0,28,28,28
12,1,55.1460727,3.48166225806321,3.48166225806321,0.290138521505268,1.50509358030858,0,4.94117647058824,0,0.613636363636364,0.613636363636364,0.675,1,0.202380952380952,0.797619047619048,17,0,27,40,17,17,84
13,1,47.498903,9.09494688751022,9.09494688751022,0.757912240625852,1.22108083211943,0,1.59459459459459,0,0.229166666666667,0.229166666666667,1,1,0.627118644067797,0.372881355932203,37,0,11,11,37,37,59
14,1,29.736099,14.9313465764289,14.9313465764289,1.24427888136907,1.37879551719276,0,1.10526315789474,0,0.05,0.05,1,1,0.904761904761905,0.0952380952380952,38,0,2,2,38,38,42
15,1,66.0929043,6.89937906087749,6.56006533657204,0.574948255073124,1.36171955148898,3,2.33333333333333,0.0491803278688525,0.344262295081967,0.39344262295082,0.67741935483871,0.875,0.402173913043478,0.597826086956522,37,3,21,31,40,39,91
16,1,110.8568794,4.22165951750578,4.05279313680555,0.351804959792148,1.95747887884349,5,5.45,0.04,0.64,0.68,0.816326530612245,0.941176470588235,0.179372197309417,0.820627802690583,40,5,80,98,45,40,218
17,1,19.158134,10.0218528589475,10.0218528589475,0.835154404912295,0.939548705526332,0,1.11764705882353,0,0.0555555555555556,0.0555555555555556,1,1,0.894736842105263,0.105263157894737,17,0,1,1,17,17,19
18,1,56.7752074,6.97487544536914,6.97487544536914,0.581239620447428,0.75737283876483,0,1.29411764705882,0,0.128205128205128,0.128205128205128,1,1,0.772727272727273,0.227272727272727,34,0,5,5,34,34,44
