Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,7.8259588,32.2005273015237,23.3176232183448,2.68337727512698,2.68337727512698,8,1,0.275862068965517,0,0.275862068965517,1,0,0.724137931034483,0.275862068965517,21,8,0,0,29,22,22
2,0,51.629825,6.27544253733186,1.37753616673138,0.522953544777655,0.677902743230294,32,1.28571428571429,0.780487804878049,0.0975609756097561,0.878048780487805,1,0.111111111111111,0.111111111111111,0.888888888888889,5,32,4,4,37,28,36
3,0,22.6373713,15.9029065357955,15.9029065357955,1.32524221131629,1.32524221131629,0,1,0,0,0,1,1,1,0,31,0,0,0,31,31,31
4,1,65.8170175,4.74041534926738,4.5386955471709,0.395034612438949,1.00278017003733,2,2.48148148148148,0.0425531914893617,0.425531914893617,0.468085106382979,1,0.909090909090909,0.373134328358209,0.626865671641791,25,2,20,20,27,27,67
5,1,42.1288351,5.41197019710616,5.41197019710616,0.450997516425513,1.18683556954083,0,2.55,0,0.354838709677419,0.354838709677419,0.55,1,0.392156862745098,0.607843137254902,20,0,11,20,20,20,51
6,1,17.4639736,12.368319200849,12.368319200849,1.03069326673742,1.03069326673742,0,1,0,0,0,1,1,1,0,19,0,0,0,19,19,19
7,1,124.8217965,1.92274111356825,1.67095358679146,0.160228426130688,1.15364466814095,11,6.90476190476191,0.130952380952381,0.630952380952381,0.761904761904762,0.746478873239437,0.828125,0.129032258064516,0.870967741935484,20,11,53,71,31,21,145
8,1,36.7927387,5.54457230442593,5.54457230442593,0.462047692035494,0.625123348048021,0,1.33333333333333,0,0.142857142857143,0.142857142857143,1,1,0.75,0.25,18,0,3,3,18,18,24
9,1,104.3159426,3.45105446998089,3.45105446998089,0.287587872498408,1.39000805040897,0,4.70967741935484,0,0.635294117647059,0.635294117647059,0.885245901639344,1,0.212328767123288,0.787671232876712,31,0,54,61,31,31,146
10,1,47.4341247,8.09543767126792,8.09543767126792,0.674619805938993,1.77087699058986,0,2.57575757575758,0,0.440677966101695,0.440677966101695,1,1,0.388235294117647,0.611764705882353,33,0,26,26,33,33,85
11,1,7.0386822,46.0313437648883,46.0313437648883,3.83594531374069,3.83594531374069,0,1,0,0,0,1,1,1,0,28,0,0,0,28,28,28
12,1,53.4216309,3.59404976533579,3.59404976533579,0.299504147111316,1.89061992864018,0,6,0,0.666666666666667,0.666666666666667,0.666666666666667,1,0.166666666666667,0.833333333333333,17,0,34,51,17,17,102
13,1,54.3635358,7.94650299401607,7.94650299401607,0.662208582834673,1.21404906853023,0,1.81081081081081,0,0.288461538461538,0.288461538461538,1,1,0.552238805970149,0.447761194029851,37,0,15,15,37,37,67
14,1,28.1913751,15.7494977958702,15.7494977958702,1.31245814965585,1.31245814965585,0,1,0,0,0,1,1,1,0,38,0,0,0,38,38,38
15,1,62.6179944,7.28225176116468,6.97882460444948,0.60685431343039,1.72474383817058,3,2.79487179487179,0.0416666666666667,0.444444444444444,0.486111111111111,0.842105263157895,0.914285714285714,0.336363636363636,0.663636363636364,37,3,32,38,40,39,109
16,1,104.989524,4.45758759702539,4.29490191830184,0.37146563308545,2.26689283780351,5,5.975,0.0364963503649635,0.671532846715328,0.708029197080292,0.85981308411215,0.948453608247423,0.163934426229508,0.836065573770492,40,5,92,107,45,40,239
17,1,17.6613575,10.8711915264724,10.8711915264724,0.905932627206034,0.905932627206034,0,1,0,0,0,1,1,1,0,17,0,0,0,17,17,17
18,1,55.971448,7.07503582898195,7.07503582898195,0.589586319081829,0.768248840015717,0,1.29411764705882,0,0.128205128205128,0.128205128205128,1,1,0.772727272727273,0.227272727272727,34,0,5,5,34,34,44
