Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,116.1519206,2.47951130306148,2.05618010497782,0.20662594192179,0.482127197817511,7,2.28,0.170731707317073,0.390243902439024,0.560975609756098,1,0.695652173913043,0.315789473684211,0.684210526315789,18,7,16,16,20,25,57
2,0,264.1921726,1.36264445860422,1.22787742423677,0.113553704883685,0.567768524418426,9,4.87096774193548,0.0989010989010989,0.659340659340659,0.758241758241758,1,0.869565217391304,0.145695364238411,0.854304635761589,22,9,60,60,30,31,151
3,0,132.3047649,2.3581917116577,2.19366670851879,0.196515975971475,0.49884824669682,3,2.48148148148148,0.0697674418604651,0.372093023255814,0.441860465116279,0.666666666666667,0.842105263157895,0.358208955223881,0.641791044776119,24,3,16,24,27,27,67
4,1,74.7890653,4.01128157968836,4.01128157968836,0.33427346497403,0.521466605359487,0,1.53846153846154,0,0.212121212121212,0.212121212121212,1,1,0.65,0.35,26,0,7,7,26,26,40
5,1,52.178755,6.43940239662675,5.10711224560053,0.536616866385563,0.536616866385563,6,1,0.206896551724138,0,0.206896551724138,1,0,0.793103448275862,0.206896551724138,23,6,0,0,25,29,29
6,1,100.2669032,3.59041706196826,3.59041706196826,0.299201421830688,0.538562559295239,0,1.7741935483871,0,0.261904761904762,0.261904761904762,0.846153846153846,1,0.563636363636364,0.436363636363636,31,0,11,13,31,31,55
7,1,87.4575314,2.74418904990954,2.30511880192402,0.228682420825795,0.228682420825795,4,1,0.16,0,0.16,1,0,0.84,0.16,21,4,0,0,25,21,21
8,1,42.3907472,7.64317737716121,7.64317737716121,0.636931448096768,2.05233466608958,0,3.14285714285714,0,0.517241379310345,0.517241379310345,1,1,0.318181818181818,0.681818181818182,28,0,30,30,28,28,88
9,1,61.2317652,4.89941779434443,4.22694868531676,0.408284816195369,0.996214951516701,7,2.38461538461538,0.137254901960784,0.352941176470588,0.490196078431373,1,0.72,0.376811594202899,0.623188405797101,26,7,18,18,33,26,62
10,1,64.097274,4.30595535154896,4.30595535154896,0.35882961262908,0.920475962831118,0,2.5,0,0.428571428571429,0.428571428571429,1,1,0.4,0.6,24,0,18,18,24,24,60
11,1,30.9050892,10.871995800614,10.1705767167034,0.905999650051164,1.03542817148704,2,1.13793103448276,0.0645161290322581,0.0645161290322581,0.129032258064516,1,0.5,0.818181818181818,0.181818181818182,27,2,2,2,27,29,33
12,1,197.5313717,1.51874609799006,1.51874609799006,0.126562174832505,0.156937096792307,0,1.23076923076923,0,0.103448275862069,0.103448275862069,1,1,0.8125,0.1875,26,0,3,3,26,26,32
13,1,68.0629202,4.93660864113203,4.93660864113203,0.411384053427669,0.793383531610505,0,1.89655172413793,0,0.30952380952381,0.30952380952381,1,1,0.527272727272727,0.472727272727273,29,0,13,13,29,29,55
14,1,37.1592515,7.10455645211261,7.10455645211261,0.592046371009384,1.82996151039264,0,3,0,0.5,0.5,1,1,0.333333333333333,0.666666666666667,23,0,23,23,23,23,69
15,1,54.6450435,7.24676886751861,7.24676886751861,0.603897405626551,0.750296776687532,0,1.23529411764706,0,0.105263157894737,0.105263157894737,1,1,0.80952380952381,0.19047619047619,34,0,4,4,34,34,42
