Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,31.7775061,10.9511425756598,10.2210664039492,0.912595214638319,0.912595214638319,2,1,0.0666666666666667,0,0.0666666666666667,1,0,0.933333333333333,0.0666666666666667,28,2,0,0,30,30,30
2,0,18.3387187,18.321890721842,18.321890721842,1.52682422682016,1.63588310016446,0,1.06896551724138,0,0.0333333333333333,0.0333333333333333,1,1,0.935483870967742,0.0645161290322581,29,0,1,1,29,29,31
3,0,30.5390537,9.03760812994674,9.03760812994674,0.753134010828895,0.753134010828895,0,1,0,0,0,1,1,1,0,24,0,0,0,24,24,24
4,1,23.1656087,16.5762965684558,16.5762965684558,1.38135804737132,1.38135804737132,0,1,0,0,0,1,1,1,0,33,0,0,0,33,33,33
5,1,23.1544335,13.9930005197493,13.4932505011868,1.16608337664577,1.16608337664577,1,1,0.0357142857142857,0,0.0357142857142857,1,0,0.964285714285714,0.0357142857142857,27,1,0,0,28,28,28
6,1,25.6977135,14.0090284686223,14.0090284686223,1.16741903905186,1.16741903905186,0,1,0,0,0,1,1,1,0,31,0,0,0,31,31,31
7,1,27.3536402,11.4061601205093,9.33231282587124,0.950513343375775,0.950513343375775,6,1,0.181818181818182,0,0.181818181818182,1,0,0.818181818181818,0.181818181818182,27,6,0,0,33,27,27
8,1,28.1517619,12.7878319402808,12.388212192147,1.06565266169007,1.1366961724694,1,1.06451612903226,0.03125,0.03125,0.0625,1,0.5,0.909090909090909,0.0909090909090909,30,1,1,1,31,31,33
9,1,26.4599339,10.8843809318813,10.4657508960397,0.907031744323443,0.907031744323443,1,1,0.0384615384615385,0,0.0384615384615385,1,0,0.961538461538462,0.0384615384615385,25,1,0,0,26,25,25
10,1,20.4686547,15.8290813318571,15.8290813318571,1.3190901109881,1.3190901109881,0,1,0,0,0,1,1,1,0,28,0,0,0,28,28,28
11,1,25.4898831,13.1817003115248,13.1817003115248,1.0984750259604,1.0984750259604,0,1,0,0,0,1,1,1,0,29,0,0,0,29,29,29
12,1,38.7317574,8.98487503177431,8.98487503177431,0.748739585981193,1.11020007576522,0,1.46666666666667,0,0.189189189189189,0.189189189189189,1,1,0.681818181818182,0.318181818181818,30,0,7,7,30,30,44
13,1,30.3936355,12.634224030225,12.2513687565818,1.05285200251875,1.05285200251875,1,1,0.0303030303030303,0,0.0303030303030303,1,0,0.96969696969697,0.0303030303030303,32,1,0,0,33,33,33
14,1,16.8241306,15.6917469482792,15.6917469482792,1.30764557902326,1.30764557902326,0,1,0,0,0,1,1,1,0,23,0,0,0,23,23,23
15,1,53.6018256,6.26844321511318,5.91024645996386,0.522370267926098,0.746243239894426,2,1.41379310344828,0.0571428571428571,0.171428571428571,0.228571428571429,1,0.75,0.658536585365854,0.341463414634146,27,2,6,6,29,29,41
