Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,15.4567879,5.43450557408503,1.67215556125693,0.452875464507086,0.452875464507086,18,1,0.692307692307692,0,0.692307692307692,1,0,0.307692307692308,0.692307692307692,8,18,0,0,26,8,8
2,0,0,0,0,0,0,29,0,1,0,1,1,0,0,1,0,29,0,0,29,0,0
3,0,29.9523337,3.20509249668249,1.12611357991547,0.267091041390207,0.534182082780415,24,1.88888888888889,0.648648648648649,0.108108108108108,0.756756756756757,1,0.142857142857143,0.219512195121951,0.780487804878049,9,24,4,4,33,9,17
4,1,0,0,0,0,0,22,0,1,0,1,1,0,0,1,0,22,0,0,22,0,0
5,1,0,0,0,0,0,29,0,1,0,1,1,0,0,1,0,29,0,0,29,0,0
6,1,0,0,0,0,0,30,0,1,0,1,1,0,0,1,0,30,0,0,30,0,0
7,1,0,0,0,0,0,28,0,1,0,1,1,0,0,1,0,28,0,0,28,0,0
8,1,78.2873616,4.13859904559614,4.13859904559614,0.344883253799678,0.459844338399571,0,1.32142857142857,0,0.0967741935483871,0.0967741935483871,0.5,1,0.756756756756757,0.243243243243243,28,0,3,6,28,28,37
9,1,0,0,0,0,0,23,0,1,0,1,1,0,0,1,0,23,0,0,23,0,0
10,1,56.7171916,3.80836910126559,3.80836910126559,0.317364091772132,0.458414799226413,0,1.42105263157895,0,0.173913043478261,0.173913043478261,1,1,0.703703703703704,0.296296296296296,19,0,4,4,19,19,27
11,1,42.0180539,6.85419654811762,6.85419654811762,0.571183045676468,0.809175981374997,0,1.4,0,0.166666666666667,0.166666666666667,1,1,0.714285714285714,0.285714285714286,25,0,5,5,25,25,35
12,1,33.246979,9.74524632749339,9.74524632749339,0.812103860624449,0.812103860624449,0,1,0,0,0,1,1,1,0,28,0,0,0,28,28,28
13,1,27.491635,11.7854030871572,11.025054500889,0.98211692392977,1.2003651292475,2,1.21428571428571,0.0645161290322581,0.0967741935483871,0.161290322580645,1,0.6,0.764705882352941,0.235294117647059,26,2,3,3,26,28,34
14,1,47.7401643,6.78673826851492,6.78673826851492,0.565561522376244,0.649348414580132,0,1.14285714285714,0,0.0666666666666667,0.0666666666666667,1,1,0.875,0.125,28,0,2,2,28,28,32
15,1,28.8273243,13.3206951850193,13.3206951850193,1.11005793208494,1.17943655284025,0,1.06060606060606,0,0.0294117647058824,0.0294117647058824,1,1,0.942857142857143,0.0571428571428571,33,0,1,1,33,33,35
